,avg_idf
101004,5.256132581976147
101005,5.3235564186599715
101006,3.8392382973591617
102004,3.117519111965138
102005,2.793938315626004
102006,2.3563856201898763
103004,2.418093323723205
103005,2.3149001109344
103006,2.4076975348410383
104004,2.978923376455449
104005,3.7340560205729476
104006,2.448897770481341
105004,4.437884464611524
105005,1.9569449457412442
105006,1.540713342855773
106004,3.785183962939771
106005,1.8781437414692048
106006,2.0712726728364266
107004,2.650498962396348
107005,3.629272110107946
107006,2.6836340313331952
108004,3.115598273525315
108005,2.2550340712361083
108006,2.16968573171976
109004,3.03952745384076
109005,3.0948436686693164
109006,3.658466337039675
110004,3.6850589904869104
110005,3.069471075628606
110006,3.0523150955200054
111004,2.995294769722673
111005,4.20466062519038
111006,3.481123734327358
112004,2.0042679060480033
112005,1.743124716821917
112006,1.5972247992100344
113004,3.841546098782594
113005,2.7992238812070553
113006,3.0788726162742637
114004,3.8899856175797174
114005,5.03653271589758
114006,1.8430142468709045
115004,2.639768948153079
115005,3.3647686172530316
115006,2.7494784295956674
116004,5.163490440950162
116005,4.8757007804901
116006,3.975535157979876
117004,4.556404607280893
117005,2.950735082279599
117006,2.653255643779144
118004,5.101087039188704
118005,4.573017859015596
118006,3.4549103475671115
119004,5.90085181258069
119005,3.2803789524819846
119006,3.4723873184406635
120004,3.282495141253413
120005,2.601166840639102
120006,2.3408051704553654
121004,4.603922299242023
121005,3.7391070935138315
121006,4.301949333757689
122004,2.5372308238779677
122005,2.6027209553384205
122006,5.060886187982305
123004,4.165246680832194
123005,3.724181622944591
123006,3.1735811959929032
124004,2.475675398191199
124005,3.613260526538398
124006,2.0419612845070625
125004,3.3107224016349006
125005,2.9813721052056783
125006,2.633606952685701
126004,3.5079522548131177
126005,3.327559106882343
126006,3.3080984961724567
127004,3.936611007749218
127005,1.8126476128380014
127006,3.2654522176562115
128004,4.1666711131553
128005,2.670992761051604
128006,3.0308129603236407
129004,5.166850968141044
129005,2.824974358532369
129006,3.1590612151235793
130004,5.068383965020135
130005,4.921527076442201
130006,3.252750682023781
131004,7.334407909240838
131005,4.172936373838299
131006,4.115517360150062
132004,1.9534014172677472
132005,2.0728367135347754
132006,3.8626854825461407
133004,5.491443669128319
133005,2.7921270134299747
133006,3.113664735015848
134004,3.1285088796929883
134005,2.5492297301391758
134006,2.4794158948031244
135004,5.4569044462610865
135005,2.3466054032237436
135006,2.9161463692303764
136004,2.2831919572298176
136005,2.116634398743738
136006,1.8470442087201373
137004,2.6488333280239993
137005,4.889123478314535
137006,3.898532928783704
138004,3.909125087747318
138005,3.65207027775649
138006,3.04199112493015
139004,3.0514495516830435
139005,3.705765844768766
139006,2.060797684428145
140004,2.805334960730337
140005,1.7509305624857858
140006,2.380521804961374
141004,3.1980193918696806
141005,3.282597625471181
141006,2.629513833370133
142004,4.218898952902345
142005,2.7533241117657026
142006,3.300540360372084
143004,2.973668018106227
143005,2.4297319572878253
143006,1.591836555857674
144004,2.466303221174097
144005,2.8883812943019467
144006,2.2371137544940054
145004,6.4068806947689865
145005,5.505474049557694
145006,3.3908660387551617
146004,7.581611851684464
146005,5.377375675915573
146006,3.111678898781324
147004,4.937077997973387
147005,2.8678277760555613
147006,2.7247836214243035
148004,3.6211286405942746
148005,1.498331123123143
148006,2.2866015623205755
149004,5.474530703925614
149005,3.426522153692681
149006,3.217239806530008
150004,3.865314602692537
150005,3.1234520767547003
150006,3.3501315019442015
