,avg_scq
101,96.63856941040211
102,76.52152805276783
103,96.11229845139383
104,90.87543617907073
105,34.754260103869036
106,88.75169671410643
107,86.6374522644976
108,49.407967737849425
109,90.29172760401204
110,79.29672013079504
111,83.20470105767953
112,76.8310945147377
113,83.32620558611129
114,57.18650823256004
115,85.49541210225931
116,73.88968598250968
117,76.46050169185997
118,117.68245730665181
119,85.75020116529238
120,111.18461094169182
121,66.80998074679457
122,107.74694899300619
123,97.76194852702046
124,90.51820866268955
125,97.8838434136738
126,82.4000904873184
127,94.01445644351155
128,89.40824478188546
129,86.29214894687728
130,94.04529773204882
131,68.2403475187635
132,72.66301715327654
133,71.24671633334441
134,61.462910161868585
135,92.20844249701936
136,76.46302388411556
137,77.14232676558886
138,69.93244306674711
139,70.82538218633948
140,76.7110155487942
141,70.43915428329039
142,68.52137498895151
143,112.16391414846512
144,63.717119421235054
145,65.57780841646738
146,72.0097752172566
147,73.53334331831358
148,79.98182590392406
149,64.59805651913565
150,85.90661764396161
