,avg_ictf
151,2.9682042173721483
152,2.804831857534828
153,4.805069438950903
154,1.7581506850321187
155,4.740057013056171
156,4.0723434515693775
157,3.2536136672579983
158,4.003100056497542
159,3.160055070893262
160,4.4649037076498255
161,4.493229654104603
162,4.9453454787757565
163,3.025090138332779
164,3.756516075987407
165,1.1250724266209935
166,1.5729986312283668
167,1.5134521470482383
168,2.5578831756531626
169,4.355828437437541
170,2.7140738537480487
171,2.19773552080676
172,2.822586394221341
173,4.582814458958202
174,3.5916912269684738
175,3.0875760888193717
176,5.590938379025397
177,3.3549949468260607
178,3.2428239246659003
179,3.255109285060963
180,2.802295470404906
181,4.575737031907677
182,1.1400510070367387
183,2.426946788086338
184,2.6532247753557368
185,2.385601371472811
186,4.7044314644936716
187,1.9830004856494736
188,1.973896419421764
189,2.823006454297777
190,3.8039382181955124
191,3.045012852335725
192,3.0517957403268867
193,3.2125712129884585
194,3.8984530226458385
195,3.542502182934449
196,3.5078766266901766
197,2.056192345779827
198,3.0458815337026257
199,4.906216731150824
200,4.745311112019515
