,avg_scq
151,74.02645195016954
152,72.5872931586731
153,95.60775105469389
154,59.281014917866656
155,97.12372358405513
156,83.10415513120061
157,79.81887024391452
158,91.79753406498696
159,78.72894981105661
160,90.34349207557966
161,93.84777848081754
162,93.12819966683242
163,76.76620537920881
164,84.26652836421844
165,39.49163693771423
166,48.60144556342326
167,50.27429027161317
168,68.06518866705142
169,92.92950120207597
170,72.17880434723035
171,51.14831962880916
172,73.77858392434665
173,86.10301508569121
174,80.04139384064263
175,71.2947136177342
176,100.70531573760098
177,77.42915129503767
178,73.4625725397188
179,75.15616305030684
180,67.46925476169693
181,86.96130664860374
182,43.2929052739858
183,64.26944409842399
184,68.53323532898553
185,60.009000367883054
186,91.29999179601344
187,61.440694613694774
188,59.767809167249446
189,71.3620558066476
190,84.48958210176443
191,67.91976257461683
192,73.28678397503073
193,76.05961614786047
194,81.81380632109146
195,86.74685045865347
196,82.73134817101328
197,62.25282538078706
198,73.5761787713633
199,93.61513839288995
200,91.50530466494622
