,max_scq
151,105.59108150273171
152,73.81717540925415
153,109.12315411583624
154,71.49066145194296
155,101.1374750459315
156,95.33130749050812
157,88.14707903588607
158,93.35170108697825
159,89.4416394846205
160,102.37233128710062
161,107.57484712842383
162,110.19930166881385
163,81.73978699635535
164,93.10997212217876
165,60.69590743218305
166,73.06862783163324
167,93.83861332504357
168,71.25776245017305
169,108.38554293091727
170,94.85189642408278
171,86.958099940316
172,85.55206461899303
173,124.82818192813912
174,111.06068939538477
175,90.41694573205781
176,115.59784264343415
177,102.14659535239176
178,94.85189642408278
179,91.06508634745514
180,108.03697616537131
181,112.34654868419604
182,45.64426326753232
183,94.46211967614619
184,104.25798100893876
185,99.04614114801674
186,117.82423376002528
187,83.43416898563738
188,62.155765876440995
189,85.95031071125244
190,96.64506387394276
191,102.98029462562292
192,98.02457910570958
193,117.16609166172681
194,104.05980559173986
195,109.83937768573465
196,83.72290934567121
197,83.5392900194861
198,96.51518774778444
199,99.71373882428044
200,108.86732192493999
