,avg_scq
101004,65.98829126605149
101005,65.97496154117013
101006,48.682438234534395
102004,47.401570620266575
102005,39.91540697125788
102006,33.072764173237985
103004,38.83510869127384
103005,36.76337620550902
103006,37.838018795149004
104004,44.562362743025744
104005,52.350435499212395
104006,35.83166893941819
105004,64.39324081596413
105005,33.898145196530784
105006,26.51543499307818
106004,53.17513090145859
106005,32.05395091868266
106006,32.51430622569717
107004,37.82400887181844
107005,51.63304291469001
107006,38.905179799346165
108004,46.93781302794135
108005,34.6595815566611
108006,34.19975418138308
109004,43.86596707000543
109005,45.347019013997524
109006,47.29549063149696
110004,52.524291191872976
110005,42.00378023708663
110006,45.19544423726949
111004,41.429683415243446
111005,55.30558420025814
111006,45.84378731610118
112004,31.967710029420182
112005,27.386348744776534
112006,26.040168675506123
113004,51.78274156278965
113005,40.98330487290932
113006,45.690525512128666
114004,58.44506350526444
114005,56.1132149897676
114006,28.952079584426475
115004,40.72886350693522
115005,48.08236216557409
115006,40.47625799263066
116004,40.49512154309018
116005,55.28558560000382
116006,45.20207430620089
117004,58.09037350778484
117005,35.94869356506514
117006,32.100114907364315
118004,72.95333586146855
118005,63.77253087670543
118006,51.49644431932161
119004,71.7716162149259
119005,44.48826633833567
119006,46.25650817246294
120004,53.062509788715026
120005,37.83795309262736
120006,36.277150955257966
121004,65.67582809695548
121005,53.539881612499265
121006,61.58336267701168
122004,38.42302415183982
122005,40.78437783776997
122006,68.90659775523743
123004,60.09854884825717
123005,54.3827417812966
123006,40.832828246227145
124004,39.28272497462937
124005,54.511881119255804
124006,32.963438911100084
125004,51.25448172374941
125005,40.97267327328794
125006,40.83359501881328
126004,51.94634496550543
126005,51.544179338904755
126006,47.58339814985636
127004,53.15954211343776
127005,28.542870946865207
127006,41.18461705879097
128004,50.74820407425017
128005,43.28832650365758
128006,44.482286172869955
129004,70.24596203519603
129005,42.930695828099914
129006,46.47832205972621
130004,59.97991481216767
130005,62.52624006699513
130006,44.775843332504884
131004,88.35689631124589
131005,57.06813779556973
131006,55.33735148117617
132004,31.09791993068892
132005,30.897092123696137
132006,45.11454225685221
133004,77.96404489855533
133005,42.544314332981244
133006,43.33357951547925
134004,50.077826846111954
134005,41.498739340292396
134006,39.692584644677005
135004,76.57748072482042
135005,36.58843677509392
135006,45.21812428210425
136004,36.79104479607991
136005,33.99277703950496
136006,29.998996570683378
137004,39.849782111871725
137005,63.46690718077108
137006,54.321812939281344
138004,46.80553414231834
138005,52.508943012615674
138006,45.82426876029407
139004,45.108473867711254
139005,57.45386914157722
139006,32.4374649742571
140004,38.77714562154632
140005,25.406643796319244
140006,35.58168881432344
141004,43.401936153033866
141005,45.9611945795252
141006,37.71451101691225
142004,57.34097591059253
142005,37.75304817996921
142006,48.13381808736867
143004,38.81727257090022
143005,35.115897154144115
143006,22.2116873899192
144004,39.311870702684004
144005,45.712308855336694
144006,36.43462498938454
145004,79.48684363459533
145005,67.29862338530347
145006,43.26678922854291
146004,80.45865645654322
146005,62.52323633935717
146006,39.5764108335343
147004,71.91121735695901
147005,43.39850834665398
147006,40.8872788452456
148004,51.832308752455184
148005,25.342589548952706
148006,36.098763732681064
149004,76.93064126918946
149005,48.73649683538216
149006,46.48099469110206
150004,53.88145463041173
150005,43.86391304258749
150006,47.709823401970645
