,max_idf
101,6.576201718517568
102,8.260799216103855
103,7.43120044106304
104,6.726455308728524
105,3.5366071193793864
106,8.28640215879244
107,5.570809628190056
108,5.968604238152732
109,6.916849270084432
110,6.943187840119839
111,5.488885406865031
112,6.870108166733296
113,4.9604400690842025
114,5.3469346014429355
115,6.035394186349138
116,4.409621448003036
117,5.935081097832202
118,12.064168269611073
119,5.3988293707818675
120,8.98299191515005
121,4.149592998475461
122,8.602022613175173
123,7.099568373103115
124,8.386443786809645
125,10.692126711735229
126,6.261470967400349
127,6.713198092779389
128,9.024263015515622
129,9.144785152654602
130,11.74319657819011
131,4.394854140617427
132,6.02282155787499
133,4.149592998475461
134,7.723586189303322
135,7.000274186028914
136,6.935598661349336
137,5.489664351328905
138,5.488885406865031
139,4.396512039474581
140,6.53024568080379
141,5.364550408891951
142,6.409377284445982
143,8.01449349758195
144,4.149592998475461
145,6.790477938684538
146,5.570809628190056
147,5.353663043256833
148,9.077638075109697
149,7.026071219469651
150,5.740049356620857
