,scs
101004,2.827094632890796
101005,2.5448254536192465
101006,1.3115834506458959
102004,0.422404054584983
102005,-0.3955133726569475
102006,-0.7412050260667244
103004,-0.4550149257834386
103005,-0.2595087133085814
103006,-0.6111903505733756
104004,0.45043025578399654
104005,0.9183468990404444
104006,-0.8131490202699618
105004,2.5586820233673633
105005,-1.283770384869428
105006,-1.4222178737296804
106004,1.719168580484672
106005,-1.0966624795831035
106006,-0.2610891036847085
107004,-0.022977998986906556
107005,1.1052952597601897
107006,-0.3221005809289914
108004,0.20810254934763295
108005,-0.1571948132133445
108006,-1.3473848543876688
109004,0.8704122958006744
109005,0.23074733040599948
109006,1.075686708511733
110004,1.6964064257743885
110005,0.42821704564874397
110006,0.1677818120137644
111004,-0.12204528188507169
111005,1.6146650333676662
111006,-0.060091882926242235
112004,-0.5263718744430022
112005,-1.7372303641933895
112006,-1.7858067697062128
113004,1.2808202580293404
113005,-0.7682520352123299
113006,-0.1835016849711737
114004,1.1263315606084912
114005,2.4768981518362407
114006,-1.0159540077697686
115004,-0.39370249281273395
115005,0.3170145752820126
115006,-0.4474077544400854
116004,2.698424907910114
116005,2.1249384926401946
116006,0.946781675813039
117004,1.7116617133259768
117005,-0.18631141093880998
117006,-0.48593988739339644
118004,2.835079138945325
118005,2.2467433852478607
118006,0.6248615345826574
119004,3.6234721969832338
119005,-0.3887560964291219
119006,0.6220057907684056
120004,1.138272392177736
120005,-0.3724246515150278
120006,-1.168286702120133
121004,2.3217657939440155
121005,0.6628659146044624
121006,1.6238502603554106
122004,0.19929924513268982
122005,-0.21496251109567077
122006,2.188559973362238
123004,2.0896686081788767
123005,1.0764188375508885
123006,0.48873707766522356
124004,-0.2259012953441475
124005,1.0851799934087067
124006,-1.357145411267969
125004,0.7503272857259342
125005,0.1332450355726862
125006,0.050958120141429974
126004,1.4474968963177137
126005,0.6663669681133717
126006,-0.24361962951067895
127004,2.105925350344939
127005,-1.3152350297685715
127006,1.0505441068805048
128004,1.8054748570444323
128005,-0.37184160516219844
128006,-0.45513220606096283
129004,2.985830311882671
129005,-0.5465488618889531
129006,0.8005362696424265
130004,3.226483922434623
130005,2.5337648891709916
130006,0.2908799701410745
131004,5.995771057661338
131005,0.8411140661184122
131006,0.6359217482068549
132004,-0.7593545681542135
132005,-0.732097367323868
132006,1.6199828706013704
133004,3.749117337732514
133005,0.05523971334253819
133006,-0.18514741402347878
134004,0.713484797009964
134005,-0.20107537681124255
134006,-0.29832492348751805
135004,3.8954333106319616
135005,-0.25928833050787214
135006,0.15667950254926577
136004,-0.5488180205519575
136005,-1.3149371335555973
136006,-1.3614023851728063
137004,0.3136992083867556
137005,2.0484739616624226
137006,0.30012452628200714
138004,1.5082257764306721
138005,0.8246655247752157
138006,0.08854226514699715
139004,0.4228589774707858
139005,2.0375408950360825
139006,-1.436424636791183
140004,0.7532774231393204
140005,-1.1301250709130228
140006,-0.5527068958821271
141004,0.4218400103834945
141005,0.7863151302437021
141006,0.10484262413958367
142004,1.2864920025314603
142005,-0.3545307382754621
142006,-0.08087588440612192
143004,0.2813451315688158
143005,-0.06046871233307205
143006,-1.251101704694701
144004,-0.36098947845706997
144005,-0.11980621925752866
144006,-1.0354244413558484
145004,4.453495872727521
145005,3.3992117805396047
145006,0.979759447453485
146004,6.188597361459008
146005,2.776438745799816
146006,-0.24971163249791495
147004,2.7808817479647576
147005,-0.033568484827954936
147006,-0.45928420771431755
148004,1.14273220076298
148005,-1.111437051671997
148006,-0.5045030755359448
149004,3.8763934222863066
149005,0.9409430994459789
149006,-0.14466791397972667
150004,0.700114378248557
150005,0.23947916653546164
150006,0.34247419877263496
