,scs
1,0.7599419346763971
2,0.7446196895291968
3,2.1097000431612605
4,2.597620031514867
5,0.9882494308513718
6,2.3725257790170233
7,0.8768873509099494
8,2.326055469635067
9,2.928282192441344
10,2.6642142874930164
11,1.5750233211111382
12,4.810117198071989
13,0.2920254501985573
14,1.9840763626082223
15,-0.0070918801565946765
16,2.5070247724186188
17,2.928282192441344
18,3.434642331850859
19,2.8103383738720886
20,1.0623192791675862
21,0.4929446757645706
22,3.4810900096568362
23,1.358067399713257
24,1.0520600763487193
25,0.008085226359327846
26,2.1034689183503428
27,2.8613303155284813
28,2.336783597807167
29,0.9179850670899945
30,1.3661670208839405
31,1.2279669113999705
32,-0.3161349437121539
33,2.8764475983834807
34,2.676603835858942
35,2.600073001764196
36,0.7128255350536149
37,1.9798210228332627
38,2.8643375665061876
39,2.188085429520889
40,1.6727482337757926
41,2.1711135725078785
42,2.252890285801104
43,2.0571699647822275
44,3.8551000295875735
45,5.06426658540403
46,2.1804117803052745
47,2.494818322201488
48,4.488342078361702
49,4.092213631103052
50,1.3646433612738693
