,scs
101,3.417481541679228
102,1.935335229593127
103,3.687200870596895
104,3.1035595708855173
105,-0.2846257909819201
106,2.842120743801221
107,3.0834050250964715
108,0.6307640861902764
109,3.427789411988086
110,1.7125291683787025
111,2.389314029417741
112,2.1898561711172535
113,2.3748153727380705
114,0.1769073038979836
115,3.004953111190834
116,2.185516223354054
117,1.8425928115639263
118,7.668959665188238
119,2.976461376808542
120,5.886167350836945
121,0.8776685511473701
122,5.980621805474793
123,4.161029957393617
124,2.966702287660646
125,4.152432694618456
126,2.400694097461101
127,3.245004724597738
128,3.539160900739353
129,2.9504102222700883
130,5.6943719385940454
131,1.3560271878392982
132,1.9033302796732505
133,2.2416509416048838
134,1.8339414924869721
135,3.6224772266710517
136,2.1001248777403827
137,2.0279118236134828
138,1.8446228580264046
139,1.255953685763864
140,1.928771495349593
141,1.223120989647858
142,1.4230562314591335
143,6.139111683065923
144,1.1114546833296768
145,1.0427852247505005
146,1.2567790065422384
147,1.463211484381297
148,2.9319908146803346
149,1.3973936899131483
150,2.8263722415595884
