,avg_idf
101,5.729880011572353
102,4.49579902502241
103,5.774028521075016
104,5.2586307955336435
105,1.782589129611863
106,5.347192105614569
107,4.849974117630762
108,2.794626197378424
109,5.286238695460616
110,4.530362699566532
111,4.56925139639441
112,4.5145133221849445
113,4.632076798185301
114,3.032429791862967
115,4.946960442967282
116,3.9177914489813648
117,4.1807426325676085
118,9.299535298577624
119,4.763983988926668
120,7.455101113093367
121,3.4640794042304677
122,7.264616462105927
123,5.9666376409822375
124,5.478062101700288
125,6.4475489679255436
126,4.659248727122733
127,5.5511496381225465
128,5.595741175282098
129,5.3109942517833035
130,7.404952806724769
131,3.5811260520940444
132,4.0188937424258935
133,3.787777224217577
134,3.7396910567930335
135,5.623474731276048
136,4.422842306887794
137,4.244265799055146
138,3.777850612770346
139,3.714994196666923
140,4.2540995433294775
141,3.808313287688819
142,3.9521554992851335
143,7.520282358525801
144,3.304708686043996
145,3.7223733374779813
146,3.8737495600113796
147,3.992715502366944
148,4.992299893355106
149,3.705423253571251
150,4.844774372090387
