,max_idf
151,6.732622035446084
152,3.913142192286043
153,7.026071219469651
154,3.6556281208367993
155,6.004434658306559
156,5.618933562306127
157,5.035053541222956
158,5.313763073467298
159,5.13007004759003
160,6.258039769370524
161,6.6455298547083
162,7.315006500321473
163,4.409621448003036
164,5.3988293707818675
165,3.1669340622147586
166,3.923748434955105
167,5.4832712312772545
168,3.7525053673449973
169,6.865309889347123
170,5.583284379877657
171,4.941888532677431
172,4.663688910664164
173,9.367933105851938
174,7.380135643027683
175,5.211574838335396
176,7.801791726487573
177,6.107371163391878
178,5.583284379877657
179,5.32572608348046
180,6.773616704935467
181,7.534134819180688
182,2.190083798244255
183,5.348991340891614
184,6.483160673722085
185,5.863222076363184
186,7.93712597952911
187,4.4933315597099845
188,3.1554950503774593
189,4.878691411806271
190,5.781431141983041
191,6.711913594927595
192,5.87404710346471
193,7.59700088903229
194,6.4218436213210985
195,6.207155603900301
196,4.646679480130477
197,4.5917214090834095
198,5.6731729906356945
199,6.19848429365581
200,6.76958052483085
