,scs
151,1.1764447481440934
152,2.1116846769748827
153,3.7064571502827928
154,0.6595383963640089
155,4.046909832496226
156,2.9737311629012675
157,2.560466486698053
158,3.3099528759375962
159,2.0614427822251526
160,3.77175652708988
161,3.106935292984712
162,4.252198298215811
163,1.9264778496646693
164,2.370221714867516
165,0.4319252460610482
166,-0.5064429104514689
167,-0.09598576538586201
168,1.8647359950932172
169,3.6626812568775957
170,1.6154615650799389
171,0.8114411596868696
172,1.7239741055532314
173,3.484202170290092
174,2.493078938300364
175,2.3944289082594263
176,4.897791198465452
177,2.2563826581579507
178,2.1442116359977907
179,1.8688149239410723
180,1.4160011092850155
181,3.8825898513477313
182,0.04143871836862889
183,1.3283344994182282
184,1.0437868629216365
185,0.9993070103529205
186,3.3181371033737808
187,0.596706124529583
188,0.8752841307536543
189,1.4367120931778865
190,2.417643857075622
191,1.9464005636676152
192,1.953183451658777
193,1.826276851868568
194,2.799840733977729
195,2.4438898942663396
196,2.8147294461302312
197,1.3630451652198814
198,1.4364436212685254
199,4.213069550590879
200,3.359016750899624
