,avg_ictf
101004,4.618854102118851
101005,4.49073560267456
101006,3.2574935997012093
102004,2.3683142036402964
102005,1.907071720337098
102006,1.8237443313948123
103004,1.8475701672106069
103005,1.8199328283712544
103006,1.8737162992146248
104004,2.5298717974638323
104005,2.864257048095758
104006,1.9594397019698193
105004,3.657294312035473
105005,0.9134541924667915
105006,0.775006703606539
106004,3.328606492918772
106005,0.9827790620967323
106006,1.5306703655433465
107004,2.174246578349313
107005,2.8970547289882447
107006,2.0757946918693793
108004,2.5106876423416784
108005,1.6345646560147105
108006,1.050510418410702
109004,2.4798502082347746
109005,2.533332423400045
109006,3.1551282501915687
110004,3.082700786894279
110005,2.5076585873285797
110006,2.2472233536936
111004,2.517012047730187
111005,3.2241029458017665
111006,2.8843470962401985
112004,1.5530696672368336
112005,1.1531413937027755
112006,0.8532505599090461
113004,3.360261799709176
113005,2.176186943954111
113006,2.3014049648168267
114004,3.0722417096638046
114005,4.422808300891554
114006,1.381941265028602
115004,1.5522076562425795
115005,2.619599668276058
115006,1.7498168228961342
116004,4.77786644958995
116005,4.070848641695508
116006,3.1440062531492585
117004,3.9088862906621964
117005,2.1162736820552355
117006,1.9119553854049742
118004,4.221373500065216
118005,3.856181297681961
118006,2.704303076262493
119004,5.232910109417334
119005,2.655766341294301
119006,2.924590883762451
120004,2.5245667532976266
120005,1.8247999258211918
120006,1.3966626553414037
121004,3.931203706378116
121005,3.147772564392463
121006,3.569760409410724
122004,1.9910587143607448
122005,1.864479030584165
122006,4.385784550698458
123004,3.1882808968469862
123005,2.8681783067789435
123006,2.5681786193450593
124004,1.720008853711166
124005,2.694617905842807
124006,0.9454396817260763
125004,2.3597651981600345
125005,2.3304696129089058
125006,1.9968682691967434
126004,2.8337912574376043
126005,2.7458085097932075
126006,2.8474228238476367
127004,3.4922197114648297
127005,0.9873500632254739
127006,2.8423035761085598
128004,3.191769218164323
128005,1.7075999365176373
128006,2.2529179950412472
129004,4.595268224316771
129005,2.226039860350828
129006,2.409974182076527
130004,4.325096211102733
130005,4.479675038226305
130006,2.775786619929075
131004,6.688918238221284
131005,3.5491642672206223
131006,3.52629350610302
132004,1.1865555809011
132005,1.5704877256701775
132006,3.4117423398294253
133004,4.442264518292459
133005,2.134681255022374
133006,2.6480659300327374
134004,2.505244266238019
134005,1.5906840924168124
134006,2.0042601695065274
135004,4.588580491191907
135005,1.6866218185474413
135006,2.1025896516045792
136004,1.8490772522464132
136005,1.5754346243405677
136006,1.2776549444424525
137004,2.1054586776148105
137005,4.245698538998642
137006,3.295856799835998
138004,3.299985245658727
138005,2.9041070664550515
138006,2.3911273581410426
139004,2.3687691265260993
139005,3.136153183704192
139006,1.453947121104982
140004,2.3627153355734207
140005,1.2677702018853478
140006,1.6445176814540925
141004,2.72442510337754
141005,2.578074599471757
141006,2.050752773194897
142004,3.589077095525506
142005,2.2104186191860746
142006,2.484073473055415
143004,2.3607866732486515
143005,1.731290756894983
143006,1.0514833882993444
144004,1.8362350988791496
144005,2.077418358078691
144006,1.449482208432152
145004,5.552108161395631
145005,4.7855061416594955
145006,2.77151891668154
146004,6.881744542018954
146005,4.855880287479652
146006,2.6947273466685258
147004,4.167176109084648
147005,2.3643267879704157
147006,2.105665149747219
148004,3.0886423498182936
148005,0.9680044900078388
148006,1.6927215018002748
149004,4.569540602846252
149005,2.8868532485012923
149006,2.6885454300764895
150004,3.0980096510469277
150005,2.436703743871681
150006,2.5396987761088545
