,max_idf
101004,9.630051014838134
101005,9.630051014838134
101006,9.630051014838134
102004,7.100114578755797
102005,8.503488974191084
102006,8.921731229074545
103004,5.278511357639886
103005,5.278511357639886
103006,5.278511357639886
104004,5.639472002852543
104005,8.42012624404077
104006,7.56037599737553
105004,6.1543727100817796
105005,3.1753085944600246
105006,3.1753085944600246
106004,6.159087101292511
106005,4.173530951028399
106006,4.974876658561262
107004,7.703505116761271
107005,7.703505116761271
107006,7.703505116761271
108004,6.35187385929577
108005,6.35187385929577
108006,6.35187385929577
109004,7.554292718574596
109005,7.554292718574596
109006,8.302603772071969
110004,6.90796657791733
110005,7.709631492017149
110006,6.90796657791733
111004,8.919582385041608
111005,8.919582385041608
111006,11.229060095788752
112004,4.762536724972855
112005,5.285670910745219
112006,4.762536724972855
113004,8.282802658779184
113005,8.282802658779184
113006,6.6237602352116545
114004,5.878767030856135
114005,12.012630282418275
114006,5.687666593544232
115004,6.714218283124083
115005,7.1713536095761174
115006,7.1713536095761174
116004,15.063481855193345
116005,13.294195241817349
116006,13.294195241817349
117004,11.743253536064858
117005,11.743253536064858
117006,11.743253536064858
118004,6.226458910115009
118005,8.212508590310193
118006,6.226458910115009
119004,7.939057271005847
119005,7.939057271005847
119006,7.939057271005847
120004,3.5536993240694272
120005,8.026981620320646
120006,6.506414318134246
121004,6.565240453138562
121005,6.778372056660793
121006,6.778372056660793
122004,6.359388714944545
122005,6.359388714944545
122006,9.603329126059503
123004,7.458222235209854
123005,7.458222235209854
123006,10.471059242027756
124004,5.85049831280513
124005,5.85049831280513
124006,5.85049831280513
125004,6.35187385929577
125005,9.50485361298966
125006,6.35187385929577
126004,5.717067492403392
126005,4.977458879845341
126006,7.937340992762084
127004,6.9053473990711165
127005,6.9053473990711165
127006,8.522355660534174
128004,9.368628011281446
128005,5.969443116691795
128006,7.721306947647844
129004,8.294299226075148
129005,7.3606848796366116
129006,7.3606848796366116
130004,10.167634087773674
130005,7.970243356079675
130006,7.970243356079675
131004,8.006846906639886
131005,8.22607751230773
131006,8.22607751230773
132004,5.6183434433906
132005,6.971752418391962
132006,9.86719721421046
133004,6.359908686855652
133005,6.359908686855652
133006,8.244193557533539
134004,4.1946797831120755
134005,4.1946797831120755
134006,4.1946797831120755
135004,6.290830241121185
135005,6.290830241121185
135006,6.290830241121185
136004,3.7757545508021235
136005,5.011499587686116
136006,4.907781389246102
137004,6.594918840745175
137005,8.360620993857555
137006,8.282499903705725
138004,9.606168423821574
138005,8.811064295375607
138006,7.64971250944244
139004,7.468161613947497
139005,4.264102215662439
139006,6.817065548647381
140004,7.697036706865746
140005,7.697036706865746
140006,7.697036706865746
141004,7.56037599737553
141005,6.648011359886978
141006,6.648011359886978
142004,8.26636022971438
142005,6.974265264847371
142006,6.750495976072992
143004,8.803645484168083
143005,7.64971250944244
143006,8.803645484168083
144004,5.894616468667375
144005,5.894616468667375
144006,5.894616468667375
145004,9.438502116552645
145005,9.438502116552645
145006,9.438502116552645
146004,10.54024505196794
146005,10.54024505196794
146006,10.54024505196794
147004,5.317939394391141
147005,5.317939394391141
147006,5.388749402634439
148004,7.709631492017149
148005,3.546235737699782
148006,5.922212929219582
149004,6.3260827564502415
149005,7.051331042787371
149006,7.250294587671929
150004,7.620130294120006
150005,7.620130294120006
150006,7.620130294120006
