,max_idf
1,5.421922854344375
2,5.421922854344375
3,6.947929239764817
4,7.333414814772974
5,4.884917490633634
6,6.653057108121522
7,4.021506073643617
8,6.8191997917297815
9,7.780311351761138
10,9.23196235165004
11,6.404273107592454
12,11.947181042230863
13,3.083602255860678
14,6.469293702784682
15,3.1675811596507755
16,7.1535332270533765
17,7.780311351761138
18,8.658832844547895
19,7.776008674500038
20,5.484121656503341
21,4.644771884038071
22,8.911260068170126
23,5.834703934463901
24,4.193152065369219
25,5.314661236490026
26,6.288835845764217
27,7.887606679750481
28,6.704406805714691
29,4.3149879104151845
30,8.173070371811823
31,4.500000098025571
32,3.931532931344317
33,8.14838313035323
34,7.021283713899055
35,7.204524465209138
36,3.7170824060403356
37,6.1660157306924175
38,7.99819961137068
39,6.395002533001712
40,4.913727427099419
41,7.673450215515794
42,6.555462882454616
43,6.230737254800721
44,10.316390005326195
45,12.657257284891257
46,6.479525722524411
47,6.483003810549104
48,11.078530057373092
49,10.373382732810034
50,6.0177067072067985
