,avg_ictf
101,4.803775902799119
102,3.727094698821182
103,4.785813159265005
104,4.202171859553627
105,1.3248121214521802
106,4.4515586562353215
107,3.776552205656417
108,2.4225235554183313
109,4.1209365925480315
110,3.5042886376067575
111,3.487926318085851
112,3.5761505322371443
113,3.7611097338579613
114,1.9686667731260385
115,4.103565399858944
116,2.8786634039139996
117,3.228887172683817
118,8.362106845748183
119,3.6696085573684876
120,6.57931453139689
121,2.2639629122672607
122,6.673768986034738
123,5.259642246061727
124,4.576140200094747
125,5.538727055738347
126,3.786988458580992
127,4.631299085717629
128,4.637773189407463
129,4.336704583389979
130,6.387519119153991
131,2.454639476507408
132,3.289624640793141
133,2.934798122164829
134,3.2202358536068627
135,4.721089515339162
136,3.4864192388602735
137,3.4142061847333736
138,2.9432351466945144
139,2.6422480468837546
140,3.3150658564694835
141,3.014880458875913
142,3.2148157006871885
143,6.832258863625868
144,2.2100669719977866
145,2.652223137184601
146,2.643073367662129
147,3.072649396815397
148,4.030603103348445
149,2.783688051033039
150,3.924984530227698
