run,qrels,p,all,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
all_res_C4-2021_bm25_query.csv,misinfo-qrels-graded.helpful-only,0.95,0.1292,0.0839,0.0379,0.0585,0.0000,0.0101,0.3858,0.2618,0.0887,0.0521,0.0822,0.1281,0.1121,NA,0.0109,0.0779,NA,0.3552,0.0667,NA,0.0731,0.0279,0.0528,NA,NA,NA,NA,0.2310,0.0636,0.1343,NA,0.1139,0.0115,0.3007,0.1285,NA,0.2022,0.0777,NA,0.0018,0.0613,NA,NA,0.0365,0.4666,0.0704,0.5630,NA,NA,0.0930
all_res_C4-2021_bm25_query.csv,misinfo-qrels-graded.harmful-only,0.95,0.1454,0.0061,0.0858,0.3721,0.1763,0.0189,0.0000,0.0005,0.0346,0.3414,0.3778,0.4280,0.2613,NA,0.0366,0.0015,NA,0.0719,0.0507,NA,0.0035,0.0000,0.0937,NA,NA,NA,NA,NA,0.8576,0.0025,NA,0.0000,0.0402,NA,0.1848,NA,0.0000,0.5684,NA,0.3022,0.0000,NA,NA,0.3377,0.0000,NA,0.0000,NA,NA,0.0002
bm25_1,misinfo-qrels-graded.helpful-only,0.95,0.1181,0.0203,0.0375,0.0036,0.0358,0.0000,0.3228,0.1887,0.1130,0.1975,0.3529,0.1009,0.0000,NA,0.0643,0.0406,NA,0.3638,0.1340,NA,0.0768,0.1555,0.1005,NA,NA,NA,NA,0.0087,0.1039,0.1829,NA,0.1192,0.0119,0.0140,0.0602,NA,0.0016,0.1799,NA,0.0732,0.1389,NA,NA,0.0735,0.2595,0.1055,0.4228,NA,NA,0.0702
bm25_1,misinfo-qrels-graded.harmful-only,0.95,0.1117,0.0064,0.1054,0.3243,0.2055,0.0000,0.0000,0.0000,0.0498,0.1481,0.0906,0.0990,0.2763,NA,0.0352,0.0000,NA,0.0293,0.0003,NA,0.0361,0.0034,0.1034,NA,NA,NA,NA,NA,0.4198,0.1411,NA,0.0000,0.1495,NA,0.1253,NA,0.0000,0.6705,NA,0.2040,0.0000,NA,NA,0.3470,0.0000,NA,0.0013,NA,NA,0.0041
bm25_2,misinfo-qrels-graded.helpful-only,0.95,0.1078,0.0070,0.0256,0.0899,0.0074,0.0085,0.2305,0.1099,0.0990,0.2618,0.0001,0.0313,0.0042,NA,0.0539,0.1147,NA,0.4109,0.0426,NA,0.0309,0.1152,0.1283,NA,NA,NA,NA,0.3493,0.0770,0.0134,NA,0.2660,0.0213,0.0041,0.0702,NA,0.0088,0.1433,NA,0.2423,0.1077,NA,NA,0.1313,0.3399,0.1413,0.0281,NA,NA,0.0577
bm25_2,misinfo-qrels-graded.harmful-only,0.95,0.0896,0.0057,0.0954,0.1956,0.0864,0.0004,0.0000,0.2977,0.0277,0.1100,0.0114,0.3183,0.2238,NA,0.0000,0.0000,NA,0.0386,0.0093,NA,0.0029,0.0010,0.1371,NA,NA,NA,NA,NA,0.7652,0.0000,NA,0.0000,0.0164,NA,0.0252,NA,0.0000,0.4539,NA,0.0243,0.0000,NA,NA,0.0194,0.0000,NA,0.0018,NA,NA,0.0000
bm25_3,misinfo-qrels-graded.helpful-only,0.95,0.1133,0.0092,0.0432,0.0093,0.0358,0.1490,0.3766,0.1608,0.0980,0.1248,0.3043,0.0288,0.0241,NA,0.0212,0.0395,NA,0.0816,0.0205,NA,0.0454,0.0245,0.0759,NA,NA,NA,NA,0.1840,0.0014,0.0006,NA,0.1408,0.1315,0.1240,0.1888,NA,0.0029,0.1337,NA,0.1242,0.0480,NA,NA,0.0357,0.2813,0.1948,0.5519,NA,NA,0.1497
bm25_3,misinfo-qrels-graded.harmful-only,0.95,0.1156,0.0067,0.2436,0.0449,0.0959,0.1974,0.0000,0.0000,0.0440,0.2096,0.0533,0.0861,0.2149,NA,0.0397,0.0000,NA,0.0536,0.3208,NA,0.0000,0.0186,0.0492,NA,NA,NA,NA,NA,0.7073,0.0000,NA,0.0008,0.1062,NA,0.1621,NA,0.0000,0.6938,NA,0.0235,0.0000,NA,NA,0.3210,0.0000,NA,0.0010,NA,NA,0.0044
bm25_4,misinfo-qrels-graded.helpful-only,0.95,0.1002,0.0378,0.0543,0.0101,0.0527,0.1004,0.4296,0.4187,0.0508,0.0782,0.1470,0.0136,0.0075,NA,0.0485,0.0295,NA,0.0213,0.1002,NA,0.1188,0.0220,0.0489,NA,NA,NA,NA,0.1312,0.0330,0.0089,NA,0.0797,0.0494,0.1957,0.1829,NA,0.0040,0.0827,NA,0.0019,0.1667,NA,NA,0.1159,0.3348,0.1315,0.1572,NA,NA,0.0424
bm25_4,misinfo-qrels-graded.harmful-only,0.95,0.1192,0.0611,0.3830,0.3056,0.1712,0.0654,0.0000,0.0016,0.1272,0.0049,0.0613,0.0037,0.4062,NA,0.0927,0.0000,NA,0.0000,0.0000,NA,0.0066,0.0000,0.0982,NA,NA,NA,NA,NA,0.6235,0.0000,NA,0.0000,0.0221,NA,0.1192,NA,0.0000,0.6185,NA,0.2331,0.0000,NA,NA,0.4099,0.0000,NA,0.0000,NA,NA,0.0000
