run,qrels,p,all,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
bm25_5,misinfo-qrels-graded.harmful-only,0.95,0.0463,0.0080,0.1059,NA,0.0000,NA,0.0000,0.0004,0.0000,0.0026,0.0000,NA,NA,0.0049,0.0758,0.0000,0.0000,0.0757,0.0000,0.0611,0.0367,NA,0.0419,NA,NA,0.0385,NA,0.2164,0.0005,NA,0.0000,0.0000,NA,NA,NA,NA,NA,NA,0.0000,0.0000,0.1165,0.0000,NA,0.0000,0.1452,0.1736,NA,0.0000,NA,0.3781,0.0000
bm25_orig_1,misinfo-qrels-graded.helpful-only,0.95,0.2732,0.1659,0.5659,0.3897,0.1755,0.6225,0.5891,0.2296,0.1939,0.2123,0.3511,0.7409,0.0191,0.0052,0.1245,0.0200,0.1867,0.4477,0.3148,0.0327,0.1809,0.1749,0.2923,0.8627,0.0000,0.0556,0.1847,0.3614,0.0050,0.0476,0.1602,0.0284,0.7004,NA,0.3610,NA,0.3104,0.0047,0.1421,0.0394,0.4797,0.9266,0.6938,0.0000,0.0229,0.0311,NA,0.3724,NA,0.0651,0.6752
bm25_orig_1,misinfo-qrels-graded.harmful-only,0.95,0.0659,0.0000,0.1788,NA,0.0000,NA,0.1370,0.0063,0.0000,0.0003,0.0010,NA,NA,0.0001,0.1419,0.0000,0.0000,0.0747,0.0000,0.4675,0.1005,NA,0.0000,NA,NA,0.2831,NA,0.1274,0.0003,NA,0.0008,0.0036,NA,NA,NA,NA,NA,NA,0.0018,0.0000,0.0145,0.0000,NA,0.0000,0.0638,0.2464,NA,0.0000,NA,0.2449,0.0132
bm25_orig_2,misinfo-qrels-graded.helpful-only,0.95,0.2843,0.2152,0.4028,0.2721,0.1355,0.5889,0.0370,0.1946,0.9083,0.0680,0.0427,0.8558,0.0663,0.1763,0.2424,0.0797,0.2427,0.5559,0.1924,0.0824,0.5156,0.1569,0.0117,0.5025,0.0000,0.0002,0.0218,0.2599,0.0213,0.6681,0.2253,0.0723,0.6786,NA,0.6613,NA,0.1672,0.1906,0.2775,0.0000,0.3830,0.7017,0.3081,0.0000,0.2954,0.0770,NA,0.6734,NA,0.1662,0.6840
bm25_orig_2,misinfo-qrels-graded.harmful-only,0.95,0.0325,0.0000,0.0453,NA,0.0000,NA,0.0004,0.0635,0.0000,0.0000,0.0000,NA,NA,0.0184,0.0393,0.0000,0.0000,0.1720,0.0000,0.1023,0.0220,NA,0.0011,NA,NA,0.0031,NA,0.0059,0.0031,NA,0.0002,0.1024,NA,NA,NA,NA,NA,NA,0.0906,0.0000,0.0266,0.0000,NA,0.0000,0.1424,0.1345,NA,0.0006,NA,0.0665,0.0000
bm25_orig_3,misinfo-qrels-graded.helpful-only,0.95,0.2491,0.2660,0.5074,0.7799,0.0366,0.7086,0.0011,0.1422,0.2902,0.2512,0.0099,0.4339,0.0640,0.2805,0.1669,0.5231,0.0682,0.3180,0.0476,0.0034,0.1115,0.1516,0.2891,0.5289,0.0007,0.0438,0.5832,0.0003,0.0199,0.0627,0.1480,0.1163,0.6503,NA,0.8253,NA,0.0542,0.0271,0.0397,0.0027,0.5540,0.7094,0.0343,0.0000,0.1669,0.0190,NA,0.5340,NA,0.0444,0.8437
bm25_orig_3,misinfo-qrels-graded.harmful-only,0.95,0.0688,0.0000,0.2187,NA,0.0000,NA,0.0011,0.0001,0.1209,0.0000,0.0000,NA,NA,0.4461,0.0643,0.0000,0.0000,0.1134,0.0000,0.2077,0.0367,NA,0.0000,NA,NA,0.1071,NA,0.0388,0.0029,NA,0.0000,0.0465,NA,NA,NA,NA,NA,NA,0.0000,0.0002,0.0370,0.0000,NA,0.0000,0.3728,0.2455,NA,0.0000,NA,0.1402,0.0008
bm25_orig_4,misinfo-qrels-graded.helpful-only,0.95,0.2874,0.6511,0.1222,0.4021,0.2217,0.6520,0.4806,0.0795,0.6862,0.2426,0.6953,0.5491,0.1996,0.0004,0.4412,0.0020,0.0472,0.3913,0.2241,0.0358,0.3397,0.2079,0.1147,0.6397,0.0000,0.0651,0.4151,0.0223,0.0174,0.1158,0.2417,0.0004,0.6830,NA,0.7279,NA,0.0021,0.0579,0.1402,0.0000,0.6052,0.0770,0.5832,0.0189,0.3019,0.0009,NA,0.6127,NA,0.4842,0.6230
bm25_orig_4,misinfo-qrels-graded.harmful-only,0.95,0.0285,0.0000,0.0271,NA,0.0000,NA,0.0378,0.0094,0.0000,0.0007,0.0000,NA,NA,0.0005,0.0768,0.0000,0.0000,0.1746,0.0000,0.1253,0.0581,NA,0.0031,NA,NA,0.1546,NA,0.0517,0.0000,NA,0.0008,0.0000,NA,NA,NA,NA,NA,NA,0.0529,0.0000,0.0382,0.0000,NA,0.0000,0.0078,0.0259,NA,0.0364,NA,0.0284,0.0027
bm25_orig_5,misinfo-qrels-graded.helpful-only,0.95,0.2035,0.0387,0.2309,0.9121,0.0772,0.7050,0.1972,0.0303,0.0498,0.1824,0.1891,0.4578,0.0621,0.1088,0.3170,0.1654,0.1936,0.3206,0.0276,0.0704,0.0408,0.1596,0.1903,0.3213,0.0000,0.0001,0.5448,0.0009,0.0059,0.0216,0.2798,0.0001,0.5838,NA,0.3990,NA,0.0000,0.0996,0.2607,0.0186,0.3188,0.0295,0.0430,0.0085,0.1514,0.0143,NA,0.5358,NA,0.0797,0.9161
