run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
bm25_2021,101,0.3412,0.3172,0.3208,0.3117,0.2863,0.2040,0.1786,0.1805,0.2208
bm25_2021,102,0.2055,0.2227,0.2629,0.2527,0.2878,0.3303,0.3745,0.4868,0.5051
bm25_2021,103,0.5397,0.5241,0.5117,0.5498,0.5387,0.4227,0.4012,0.5455,0.6176
bm25_2021,104,0.0713,0.3065,0.3284,0.3404,0.3870,0.4039,0.4230,0.5640,0.6591
bm25_2021,105,0.0000,0.0353,0.0280,0.0236,0.0299,0.1149,0.1315,0.1569,0.1613
bm25_2021,106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2021,107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0323,0.1703,0.1946,0.2277
bm25_2021,108,0.0000,0.0000,0.0000,0.0000,0.0633,0.1952,0.2383,0.2749,0.2749
bm25_2021,109,0.5841,0.4413,0.4724,0.4462,0.4054,0.4396,0.5218,0.6294,0.6598
bm25_2021,110,0.7591,0.8004,0.8157,0.7457,0.6209,0.5155,0.5825,0.6578,0.6955
bm25_2021,111,0.4771,0.6203,0.5979,0.6255,0.5584,0.4354,0.4939,0.5369,0.5524
bm25_2021,112,0.2519,0.2607,0.2737,0.3028,0.3793,0.4318,0.5084,0.5920,0.6481
bm25_2021,114,0.0000,0.0000,0.0000,0.0205,0.0518,0.0774,0.0880,0.0880,0.1044
bm25_2021,115,0.0000,0.0000,0.0000,0.0000,0.0000,0.1596,0.1596,0.1596,0.1596
bm25_2021,117,0.0000,0.1171,0.1171,0.1171,0.1744,0.1744,0.2103,0.2248,0.2248
bm25_2021,118,0.0000,0.0000,0.0411,0.0411,0.0750,0.0750,0.1215,0.2246,0.2246
bm25_2021,120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0560,0.1921,0.1921,0.1921
bm25_2021,121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1148,0.1630
bm25_2021,122,0.1144,0.1115,0.0895,0.0760,0.0890,0.1612,0.1844,0.2247,0.2536
bm25_2021,128,1.0000,0.8669,0.8969,0.8801,0.7704,0.7257,0.7136,0.8487,0.8821
bm25_2021,129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0262,0.0850,0.1527,0.1834
bm25_2021,131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0545,0.0766
bm25_2021,132,0.0656,0.0426,0.0561,0.0963,0.1186,0.2106,0.2776,0.3545,0.4282
bm25_2021,134,0.1815,0.2283,0.1926,0.1939,0.2112,0.2489,0.2764,0.3618,0.4055
bm25_2021,136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2021,137,0.6888,0.6404,0.5917,0.6428,0.6676,0.7032,0.7032,0.7304,0.7304
bm25_2021,139,0.4275,0.4504,0.4895,0.5373,0.5894,0.5206,0.5833,0.6413,0.6880
bm25_2021,140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2021,143,0.2117,0.3859,0.4337,0.4286,0.3533,0.4934,0.5480,0.6244,0.6372
bm25_2021,144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2021,146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1247,0.1247
bm25_2021,149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0915,0.0915,0.0915
bm25_2021,all,0.1850,0.1991,0.2037,0.2073,0.2081,0.2237,0.2581,0.3135,0.3372
