run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
minilm_layman_CLEF,129006,0.4492,0.3638,0.3957,0.3790,0.3514,0.2248,0.1472,0.0956,0.1018
minilm_layman_CLEF,130004,0.1504,0.4139,0.4302,0.4592,0.3985,0.2896,0.2034,0.1650,0.1822
minilm_layman_CLEF,130005,0.3601,0.3757,0.3563,0.3310,0.3106,0.2202,0.1686,0.1752,0.2394
minilm_layman_CLEF,130006,0.0000,0.0734,0.1476,0.1717,0.1881,0.1670,0.1685,0.2171,0.2275
minilm_layman_CLEF,131004,0.0848,0.0550,0.1324,0.1437,0.1336,0.0910,0.0996,0.1385,0.1652
minilm_layman_CLEF,131005,0.0730,0.0474,0.0367,0.0958,0.0855,0.1160,0.1572,0.2283,0.2564
minilm_layman_CLEF,131006,0.0000,0.0000,0.0231,0.0539,0.0659,0.0969,0.1464,0.2058,0.2533
minilm_layman_CLEF,132004,0.3601,0.4125,0.3896,0.4413,0.4678,0.3062,0.1937,0.1560,0.1681
minilm_layman_CLEF,132005,0.3601,0.3076,0.3269,0.2892,0.2690,0.1836,0.1346,0.1083,0.1294
minilm_layman_CLEF,132006,0.3392,0.2519,0.3068,0.3059,0.2933,0.3108,0.2272,0.1788,0.1873
minilm_layman_CLEF,133004,0.2234,0.3145,0.2886,0.2741,0.2225,0.2253,0.1947,0.2139,0.2603
minilm_layman_CLEF,133005,0.3422,0.3638,0.4169,0.3800,0.3507,0.2816,0.2159,0.2253,0.2642
minilm_layman_CLEF,133006,0.4344,0.3533,0.3639,0.3370,0.3054,0.2782,0.2403,0.2713,0.3185
minilm_layman_CLEF,134004,0.0000,0.0392,0.0772,0.0807,0.0967,0.1037,0.1137,0.1487,0.1802
minilm_layman_CLEF,134005,0.7110,0.4614,0.4239,0.3529,0.3392,0.2186,0.1943,0.2198,0.2465
minilm_layman_CLEF,134006,0.0000,0.0000,0.0000,0.0162,0.0124,0.0499,0.0727,0.1285,0.1555
minilm_layman_CLEF,135004,0.0000,0.0739,0.1041,0.1031,0.1378,0.1719,0.1636,0.1984,0.2517
minilm_layman_CLEF,135005,0.6548,0.4249,0.3738,0.3112,0.2614,0.1950,0.1638,0.2109,0.2599
minilm_layman_CLEF,135006,0.0000,0.0392,0.0528,0.0947,0.0728,0.0935,0.0940,0.1349,0.1546
minilm_layman_CLEF,136004,0.6187,0.5812,0.5190,0.4987,0.4546,0.2272,0.1790,0.2483,0.3007
