run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
minilm_2020,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0173,0.0458,0.0724
minilm_2020,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
minilm_2020,13,0.0000,0.0000,0.0000,0.0323,0.0940,0.0864,0.0920,0.2034,0.2874
minilm_2020,14,0.0000,0.0499,0.1095,0.0954,0.1543,0.2492,0.2970,0.3597,0.4049
minilm_2020,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0460,0.0460
minilm_2020,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
minilm_2020,17,0.3392,0.2201,0.1706,0.2078,0.1827,0.1875,0.2444,0.3417,0.3847
minilm_2020,18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
minilm_2020,19,0.2140,0.2122,0.2093,0.2754,0.2575,0.3011,0.3846,0.4132,0.4195
minilm_2020,2,0.1696,0.1100,0.0913,0.1012,0.1240,0.2528,0.3180,0.3632,0.3953
minilm_2020,20,0.0000,0.0451,0.0377,0.0581,0.0471,0.0471,0.1446,0.2433,0.3095
minilm_2020,22,0.0000,0.1009,0.1009,0.1009,0.1009,0.1009,0.1407,0.1407,0.1407
minilm_2020,25,0.2352,0.4670,0.3838,0.3530,0.2933,0.3282,0.3409,0.4062,0.4549
minilm_2020,27,0.1696,0.1100,0.1555,0.1555,0.2002,0.2709,0.3603,0.3603,0.3603
minilm_2020,28,0.0000,0.0000,0.0000,0.0000,0.0367,0.0944,0.0944,0.1336,0.1515
minilm_2020,30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0437,0.1523,0.1523
minilm_2020,31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0190,0.0860,0.1153,0.1935
minilm_2020,38,0.1690,0.1315,0.1315,0.1315,0.1315,0.1315,0.1315,0.1963,0.2138
minilm_2020,39,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0475,0.2041,0.3325
minilm_2020,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1132,0.1132
minilm_2020,40,0.3392,0.2273,0.2203,0.2203,0.2203,0.2612,0.3251,0.3514,0.3742
minilm_2020,41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0573
minilm_2020,43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
minilm_2020,44,0.3601,0.2918,0.2918,0.2918,0.2918,0.2918,0.3279,0.4546,0.4546
minilm_2020,45,0.0000,0.0663,0.1877,0.1897,0.2283,0.3075,0.5475,0.5623,0.5623
minilm_2020,47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1128,0.1851,0.2679
minilm_2020,49,0.2140,0.1389,0.1323,0.1200,0.1477,0.3080,0.3873,0.5259,0.5539
minilm_2020,50,0.1696,0.1100,0.1280,0.1280,0.1280,0.1553,0.1805,0.2193,0.2382
minilm_2020,6,0.0000,0.0371,0.0321,0.0287,0.0241,0.0241,0.0670,0.0934,0.1179
minilm_2020,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0116,0.0786,0.1028
minilm_2020,8,0.0000,0.0000,0.0000,0.0000,0.0662,0.1124,0.1748,0.1748,0.1748
minilm_2020,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,0.0323,0.1172,0.1400
minilm_2020,all,0.0744,0.0724,0.0744,0.0778,0.0853,0.1106,0.1534,0.2063,0.2336
