run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
bm25_layman_CLEF,143005,0.4374,0.4227,0.3277,0.3066,0.2931,0.1997,0.1780,0.1828,0.2329
bm25_layman_CLEF,143006,0.7883,0.7202,0.6926,0.6592,0.6235,0.5306,0.4203,0.4284,0.4604
bm25_layman_CLEF,144004,0.1800,0.1500,0.1611,0.1673,0.1873,0.1810,0.1650,0.1850,0.2384
bm25_layman_CLEF,144005,0.3496,0.2269,0.2414,0.2339,0.2027,0.1907,0.1773,0.1990,0.2276
bm25_layman_CLEF,144006,0.1696,0.1100,0.1066,0.1052,0.0921,0.0947,0.1017,0.1240,0.1728
bm25_layman_CLEF,145004,0.1312,0.3350,0.3276,0.4238,0.3726,0.3141,0.2615,0.2438,0.2899
bm25_layman_CLEF,145005,0.3392,0.4631,0.3814,0.4526,0.4416,0.4196,0.2997,0.2490,0.3049
bm25_layman_CLEF,145006,0.1312,0.3005,0.3234,0.4205,0.4257,0.3152,0.2594,0.2372,0.3003
bm25_layman_CLEF,146004,0.5074,0.4354,0.4744,0.4616,0.4493,0.3184,0.2358,0.2284,0.2415
bm25_layman_CLEF,146005,0.4048,0.3678,0.3320,0.3272,0.3547,0.2580,0.2076,0.2134,0.2460
bm25_layman_CLEF,146006,0.4462,0.3654,0.3731,0.3277,0.2634,0.2414,0.2225,0.2211,0.2944
bm25_layman_CLEF,147004,0.2456,0.2623,0.3159,0.2800,0.3301,0.2503,0.2034,0.2244,0.2699
bm25_layman_CLEF,147005,0.3836,0.3248,0.3191,0.3332,0.3847,0.2718,0.2231,0.2752,0.3754
bm25_layman_CLEF,147006,0.3614,0.3129,0.3524,0.3598,0.3591,0.2697,0.2109,0.2348,0.2969
bm25_layman_CLEF,148004,0.5996,0.5955,0.5539,0.5279,0.4872,0.3295,0.2865,0.2929,0.3538
bm25_layman_CLEF,148005,0.3422,0.2220,0.1935,0.1611,0.1482,0.1146,0.0966,0.1305,0.1476
bm25_layman_CLEF,148006,0.5000,0.3637,0.3037,0.2866,0.2425,0.1386,0.1122,0.1612,0.1989
bm25_layman_CLEF,149004,0.6608,0.7015,0.7225,0.7361,0.7727,0.4183,0.3133,0.3255,0.3423
bm25_layman_CLEF,149005,0.0000,0.0000,0.0461,0.0384,0.0408,0.1050,0.1083,0.1306,0.1546
bm25_layman_CLEF,149006,0.2140,0.1389,0.1533,0.1276,0.0981,0.0702,0.0633,0.0804,0.0843
bm25_layman_CLEF,150004,0.4913,0.3911,0.4385,0.4333,0.4929,0.4732,0.3585,0.3187,0.3569
bm25_layman_CLEF,150005,0.7574,0.7075,0.6621,0.6200,0.5920,0.5242,0.4177,0.4613,0.4994
bm25_layman_CLEF,150006,0.8496,0.6539,0.6181,0.6163,0.5891,0.4907,0.3833,0.3971,0.5058
bm25_layman_CLEF,all,0.2115,0.2059,0.2004,0.1941,0.1834,0.1377,0.1118,0.1119,0.1314
