run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
bm25_2022,151,0.2246,0.2201,0.2185,0.1919,0.2206,0.3069,0.3069,0.3069,0.4140
bm25_2022,152,0.0000,0.0000,0.0269,0.0240,0.0593,0.0593,0.0942,0.1356,0.1626
bm25_2022,153,1.0000,0.7885,0.6589,0.6137,0.5413,0.4066,0.5072,0.6315,0.6831
bm25_2022,154,0.0000,0.2064,0.3387,0.3502,0.3397,0.1676,0.2070,0.3113,0.4619
bm25_2022,155,0.2140,0.2725,0.2901,0.3468,0.3058,0.4042,0.4897,0.5737,0.5882
bm25_2022,156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0727,0.0727,0.0727,0.0727
bm25_2022,157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2022,158,0.2382,0.1546,0.1198,0.1795,0.1681,0.1575,0.2020,0.2581,0.3348
bm25_2022,159,0.3156,0.5192,0.5186,0.5663,0.5766,0.4323,0.4596,0.6348,0.7323
bm25_2022,160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0374,0.0702,0.1288
bm25_2022,161,0.0000,0.1549,0.1549,0.1549,0.1549,0.1907,0.1907,0.2192,0.2192
bm25_2022,162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1088
bm25_2022,163,0.0000,0.0000,0.0000,0.0255,0.0209,0.1036,0.1264,0.2061,0.2317
bm25_2022,164,0.5531,0.3590,0.3258,0.2713,0.2479,0.3142,0.3142,0.3468,0.4013
bm25_2022,167,0.2722,0.2535,0.2442,0.2142,0.1977,0.2556,0.2909,0.3513,0.3876
bm25_2022,168,0.0000,0.0000,0.0448,0.0714,0.0793,0.0943,0.1201,0.2479,0.3180
bm25_2022,170,0.1386,0.2234,0.2918,0.3392,0.4051,0.3095,0.2744,0.3573,0.4659
bm25_2022,173,0.2140,0.2906,0.2253,0.1876,0.2337,0.3767,0.4851,0.5507,0.5651
bm25_2022,175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0815,0.1165,0.1165
bm25_2022,177,0.0000,0.1354,0.1354,0.1354,0.1354,0.1354,0.1354,0.1354,0.1354
bm25_2022,178,0.0000,0.0000,0.0000,0.0346,0.0346,0.0346,0.1136,0.2399,0.2869
bm25_2022,179,0.1578,0.1992,0.2444,0.2672,0.2855,0.2564,0.3185,0.4670,0.5345
bm25_2022,181,0.0000,0.1672,0.1672,0.2757,0.2757,0.3612,0.3612,0.3612,0.3612
bm25_2022,183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2022,184,0.0000,0.0000,0.0000,0.0000,0.0153,0.1030,0.1420,0.3006,0.4533
bm25_2022,185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2022,186,0.5784,0.4867,0.4011,0.3465,0.2975,0.3323,0.3679,0.4084,0.5411
bm25_2022,187,0.0000,0.0000,0.0427,0.0355,0.0273,0.0580,0.1010,0.1493,0.2686
bm25_2022,188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0410
bm25_2022,189,0.1378,0.2621,0.2862,0.2744,0.4030,0.4409,0.4409,0.4670,0.4792
bm25_2022,190,0.1070,0.0694,0.0606,0.0606,0.0811,0.0811,0.0811,0.0811,0.0907
bm25_2022,192,0.1969,0.2531,0.3417,0.3226,0.3001,0.2949,0.3634,0.4635,0.5150
bm25_2022,193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0621,0.1150,0.1627
bm25_2022,194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0674
bm25_2022,195,0.0000,0.1420,0.1420,0.1420,0.1420,0.2154,0.2154,0.2414,0.3101
bm25_2022,197,0.2864,0.2040,0.2414,0.2343,0.2705,0.1649,0.1411,0.2103,0.2598
bm25_2022,199,0.0000,0.0000,0.0000,0.1500,0.1500,0.1500,0.2358,0.2358,0.2358
bm25_2022,all,0.1253,0.1449,0.1492,0.1572,0.1613,0.1697,0.1984,0.2504,0.3009
